run_id,agent,seed,temperature,tau,sigma,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s4__T0.5__tau0.75__sig1.5,lawnmower,4,0.5,0.75,1.5,20,0.3294467641833395,0.3181651154276055,0.08764097744360835,116.45,0.390625,9.75,,,,shift
lawnmower__s0__T1__tau0.75__sig1.5,lawnmower,0,1.0,0.75,1.5,20,0.34842191540680756,0.3763702046710467,0.09829260651628999,101.2,0.390625,10.25,,,,shift
lawnmower__s1__T1__tau0.75__sig1.5,lawnmower,1,1.0,0.75,1.5,20,0.3218450742345139,0.3370659920529158,0.08411654135338283,102.55,0.390625,10.4,,,,shift
lawnmower__s2__T1__tau0.75__sig1.5,lawnmower,2,1.0,0.75,1.5,20,0.3612953964497002,0.3727608834954407,0.09696115288220479,101.45,0.390625,9.3,,,,shift
lawnmower__s3__T1__tau0.75__sig1.5,lawnmower,3,1.0,0.75,1.5,20,0.34276117403324263,0.3559090425339537,0.09163533834586399,103.4,0.390625,6.7,,,,shift
lawnmower__s4__T1__tau0.75__sig1.5,lawnmower,4,1.0,0.75,1.5,20,0.31703638665964246,0.3389861128374218,0.08427318295739285,101.5,0.390625,9.85,,,,shift
lawnmower__s0__T2__tau0.75__sig1.5,lawnmower,0,2.0,0.75,1.5,20,0.3264803206292811,0.41092394082248784,0.09218358395989905,81.55,0.390625,10.3,,,,shift
lawnmower__s1__T2__tau0.75__sig1.5,lawnmower,1,2.0,0.75,1.5,20,0.2987834155040243,0.36915341092051546,0.0780858395989969,82.3,0.390625,10.4,,,,shift
lawnmower__s2__T2__tau0.75__sig1.5,lawnmower,2,2.0,0.75,1.5,20,0.3331331828162328,0.4007018969167021,0.08912907268170359,82.95,0.390625,9.4,,,,shift
lawnmower__s3__T2__tau0.75__sig1.5,lawnmower,3,2.0,0.75,1.5,20,0.31759501661832845,0.387204272453921,0.08474310776942293,83.2,0.390625,7.45,,,,shift
lawnmower__s4__T2__tau0.75__sig1.5,lawnmower,4,2.0,0.75,1.5,20,0.295196332833149,0.37110744355218567,0.07839912280701697,82.2,0.390625,10.05,,,,shift
lawnmower__s0__T3__tau0.75__sig1.5,lawnmower,0,3.0,0.75,1.5,20,0.30226605391447914,0.4532804190963165,0.08529135338345802,63.35,0.390625,10.4,,,,shift
lawnmower__s1__T3__tau0.75__sig1.5,lawnmower,1,3.0,0.75,1.5,20,0.28006159300602373,0.4153811891121257,0.07322994987468617,63.1,0.390625,10.8,,,,shift
lawnmower__s2__T3__tau0.75__sig1.5,lawnmower,2,3.0,0.75,1.5,20,0.3039710298050181,0.44187622852387054,0.0812969924812024,63.55,0.390625,16.0,,,,shift
lawnmower__s3__T3__tau0.75__sig1.5,lawnmower,3,3.0,0.75,1.5,20,0.29220881627439466,0.43262103520827394,0.0780075187969919,63.25,0.390625,8.2,,,,shift
lawnmower__s4__T3__tau0.75__sig1.5,lawnmower,4,3.0,0.75,1.5,20,0.26996043172529405,0.41173200671644683,0.072055137844611,62.9,0.390625,10.25,,,,shift
